[2026-04-22 20:37:33] Res: EXITOSO | Vel: 1.28 | Fuel: 52.0%
[2026-04-22 20:38:06] Res: EXITOSO | Vel: 0.89 | Fuel: 50.5%
[2026-04-22 20:38:18] Res: CHOQUE | Vel: 4.04 | Fuel: 100.0%
[2026-04-22 20:38:30] Res: CRASH | Vel: 15.03 | Fuel: 25.5%
[2026-04-22 20:38:40] Res: CRASH | Vel: 9.63 | Fuel: 79.5%
[2026-04-22 20:38:47] Res: CHOQUE | Vel: 3.12 | Fuel: 54.0%
[2026-04-28 23:40:09] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 23:40:22] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 23:40:27] Nivel: 1 | Res: ATERRIZAJE PERFECTO | Vel: 2.23 | Fuel: 39.5%
[2026-04-28 23:40:31] Nivel: 2 | Res: CRASH / FUERA DE RUTA | Vel: 10.35 | Fuel: 4.5%
[2026-04-28 23:40:36] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 3.48 | Fuel: 37.0%
[2026-04-28 23:40:42] Nivel: 2 | Res: CRASH / FUERA DE RUTA | Vel: 11.30 | Fuel: 33.5%
[2026-04-28 23:40:47] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 10.88 | Fuel: 0.0%
[2026-04-28 23:40:50] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 6.40 | Fuel: 13.0%
[2026-04-28 23:40:55] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 4.58 | Fuel: 31.5%
[2026-04-28 23:40:58] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 3.55 | Fuel: 18.5%
[2026-04-28 23:41:03] Nivel: 2 | Res: CRASH / FUERA DE RUTA | Vel: 2.60 | Fuel: 34.5%
[2026-04-28 23:41:10] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 3.63 | Fuel: 52.5%
[2026-04-28 23:41:17] Nivel: 2 | Res: CÁPSULA DESTRUIDA | Vel: 2.65 | Fuel: 63.0%
[2026-04-28 23:41:24] Nivel: 2 | Res: CRASH / FUERA DE RUTA | Vel: 4.12 | Fuel: 27.5%
